evaluation,split_id,repeat,fold,strategy,test_rows,mae,rmse,primary_fallback_percentage
repeated_random_cv,26,6,1.0,model_based_hgb,488,8.756970208247782,16.068529519920098,
repeated_random_cv,27,6,2.0,global_median,488,15.979508196721312,24.199647741644345,0.0
repeated_random_cv,27,6,2.0,neighborhood_median,488,12.057377049180328,21.13260727321488,0.0
repeated_random_cv,27,6,2.0,lot_config_median,488,15.549180327868852,23.59772147933765,0.0
repeated_random_cv,27,6,2.0,hierarchical_median,488,11.537909836065573,20.532598531579396,0.4098360655737705
repeated_random_cv,27,6,2.0,model_based_hgb,488,9.067363194634686,16.847598855595475,
repeated_random_cv,28,6,3.0,global_median,488,15.793032786885245,21.88105887988326,0.0
repeated_random_cv,28,6,3.0,neighborhood_median,488,12.149590163934427,19.63446701802642,0.0
repeated_random_cv,28,6,3.0,lot_config_median,488,14.901639344262295,21.04337830510594,0.0
repeated_random_cv,28,6,3.0,hierarchical_median,488,11.25,18.533089592295873,0.4098360655737705
repeated_random_cv,28,6,3.0,model_based_hgb,488,7.908276678663292,13.274414632203857,
repeated_random_cv,29,6,4.0,global_median,488,17.16188524590164,23.092073368561262,0.0
repeated_random_cv,29,6,4.0,neighborhood_median,488,12.01639344262295,18.970317625692832,0.0
repeated_random_cv,29,6,4.0,lot_config_median,488,16.75409836065574,22.45989139135529,0.0
repeated_random_cv,29,6,4.0,hierarchical_median,488,11.673155737704919,18.683803913778494,0.4098360655737705
repeated_random_cv,29,6,4.0,model_based_hgb,488,7.972565981267111,12.466534385553857,
repeated_random_cv,30,6,5.0,global_median,488,16.71516393442623,21.99520253205752,0.0
repeated_random_cv,30,6,5.0,neighborhood_median,488,12.575819672131148,19.15898218488278,0.0
repeated_random_cv,30,6,5.0,lot_config_median,488,16.06045081967213,21.304354303641357,0.0
repeated_random_cv,30,6,5.0,hierarchical_median,488,11.91188524590164,18.2030329845349,0.819672131147541
repeated_random_cv,30,6,5.0,model_based_hgb,488,8.314204270590734,13.712402148634352,
repeated_random_cv,31,7,1.0,global_median,488,16.37704918032787,21.501048392281085,0.0
repeated_random_cv,31,7,1.0,neighborhood_median,488,11.782786885245901,17.55859627870886,0.0
repeated_random_cv,31,7,1.0,lot_config_median,488,15.857581967213115,20.842488425581333,0.0
repeated_random_cv,31,7,1.0,hierarchical_median,488,11.063524590163935,16.805937914330393,1.2295081967213115
repeated_random_cv,31,7,1.0,model_based_hgb,488,7.625547035527025,12.57993261861366,
repeated_random_cv,32,7,2.0,global_median,488,16.932377049180328,25.403102624498835,0.0
repeated_random_cv,32,7,2.0,neighborhood_median,488,13.47233606557377,22.956313196455795,0.0
repeated_random_cv,32,7,2.0,lot_config_median,488,15.90983606557377,24.597914079229977,0.0
repeated_random_cv,32,7,2.0,hierarchical_median,488,12.552254098360656,22.186950177902354,0.0
repeated_random_cv,32,7,2.0,model_based_hgb,488,8.622649915651934,15.980072560944823,
repeated_random_cv,33,7,3.0,global_median,488,17.192622950819672,23.273498613335253,0.0
repeated_random_cv,33,7,3.0,neighborhood_median,488,12.912909836065573,19.964915435850354,0.0
repeated_random_cv,33,7,3.0,lot_config_median,488,16.71926229508197,22.66239211542865,0.0
repeated_random_cv,33,7,3.0,hierarchical_median,488,12.362704918032787,19.53026759824392,0.20491803278688525
repeated_random_cv,33,7,3.0,model_based_hgb,488,9.107127410693096,14.43776075844829,
repeated_random_cv,34,7,4.0,global_median,488,15.42827868852459,20.740443187322622,0.0
repeated_random_cv,34,7,4.0,neighborhood_median,488,11.248975409836065,18.32945034636882,0.0
repeated_random_cv,34,7,4.0,lot_config_median,488,15.342213114754099,20.844663585675832,0.0
repeated_random_cv,34,7,4.0,hierarchical_median,488,11.031762295081966,18.387158629299318,0.20491803278688525
repeated_random_cv,34,7,4.0,model_based_hgb,488,7.96444300343358,13.300389385077223,
repeated_random_cv,35,7,5.0,global_median,488,17.37704918032787,25.625854643884722,0.0
repeated_random_cv,35,7,5.0,neighborhood_median,488,13.34733606557377,23.25298544202901,0.0
repeated_random_cv,35,7,5.0,lot_config_median,488,16.13627049180328,23.872365960611802,0.0
repeated_random_cv,35,7,5.0,hierarchical_median,488,11.834016393442623,20.943473884736882,1.0245901639344261
repeated_random_cv,35,7,5.0,model_based_hgb,488,8.963431229403836,15.968848260689933,
repeated_random_cv,36,8,1.0,global_median,488,17.334016393442624,25.50357576986373,0.0
repeated_random_cv,36,8,1.0,neighborhood_median,488,12.217213114754099,21.833925136934173,0.0
repeated_random_cv,36,8,1.0,lot_config_median,488,17.048155737704917,25.007959798405956,0.0
repeated_random_cv,36,8,1.0,hierarchical_median,488,11.917008196721312,21.283279148464775,0.6147540983606558
repeated_random_cv,36,8,1.0,model_based_hgb,488,8.765736364977837,16.44393404013189,
repeated_random_cv,37,8,2.0,global_median,488,16.959016393442624,25.71956262535085,0.0
repeated_random_cv,37,8,2.0,neighborhood_median,488,13.552254098360656,23.662468120231743,0.0
repeated_random_cv,37,8,2.0,lot_config_median,488,16.05122950819672,24.822360688780883,0.0
repeated_random_cv,37,8,2.0,hierarchical_median,488,12.34733606557377,22.46555879490232,0.819672131147541
repeated_random_cv,37,8,2.0,model_based_hgb,488,9.228025888188533,16.91798632506909,
repeated_random_cv,38,8,3.0,global_median,488,16.672131147540984,22.66071924545449,0.0
repeated_random_cv,38,8,3.0,neighborhood_median,488,12.907786885245901,20.05617112013158,0.0
repeated_random_cv,38,8,3.0,lot_config_median,488,16.24795081967213,22.049822496590476,0.0
repeated_random_cv,38,8,3.0,hierarchical_median,488,11.822745901639344,18.718621284349048,0.4098360655737705
repeated_random_cv,38,8,3.0,model_based_hgb,488,8.238830542144669,13.035089719043714,
repeated_random_cv,39,8,4.0,global_median,488,16.295081967213115,21.108424237031333,0.0
repeated_random_cv,39,8,4.0,neighborhood_median,488,11.942622950819672,17.702169451191246,0.0
repeated_random_cv,39,8,4.0,lot_config_median,488,15.301229508196721,20.238485898787236,0.0
repeated_random_cv,39,8,4.0,hierarchical_median,488,11.50922131147541,17.578701834797737,0.20491803278688525
repeated_random_cv,39,8,4.0,model_based_hgb,488,7.585099822699936,11.891832167913837,
repeated_random_cv,40,8,5.0,global_median,488,15.948770491803279,21.565521586817127,0.0
repeated_random_cv,40,8,5.0,neighborhood_median,488,11.940573770491802,18.492632560465626,0.0
repeated_random_cv,40,8,5.0,lot_config_median,488,15.392418032786885,20.481011297552957,0.0
repeated_random_cv,40,8,5.0,hierarchical_median,488,11.367827868852459,17.560011272822102,0.20491803278688525
repeated_random_cv,40,8,5.0,model_based_hgb,488,7.907885511728569,12.71410799920573,
repeated_random_cv,41,9,1.0,global_median,488,16.491803278688526,22.150750274085933,0.0
repeated_random_cv,41,9,1.0,neighborhood_median,488,11.879098360655737,18.85617479418486,0.0
repeated_random_cv,41,9,1.0,lot_config_median,488,15.729508196721312,21.11832395237314,0.0
repeated_random_cv,41,9,1.0,hierarchical_median,488,11.058401639344263,17.58415072038957,0.6147540983606558
repeated_random_cv,41,9,1.0,model_based_hgb,488,8.313835637951051,14.070507065343344,
repeated_random_cv,42,9,2.0,global_median,488,17.434426229508198,26.99514224667158,0.0
repeated_random_cv,42,9,2.0,neighborhood_median,488,13.091188524590164,24.275453516723903,0.0
repeated_random_cv,42,9,2.0,lot_config_median,488,16.746926229508198,26.2996505462042,0.0
repeated_random_cv,42,9,2.0,hierarchical_median,488,12.319672131147541,23.36662096688,1.0245901639344261
repeated_random_cv,42,9,2.0,model_based_hgb,488,8.95390283370059,17.977438166717068,
repeated_random_cv,43,9,3.0,global_median,488,16.985655737704917,23.488181541599758,0.0
repeated_random_cv,43,9,3.0,neighborhood_median,488,13.52561475409836,21.012766903737823,0.0
repeated_random_cv,43,9,3.0,lot_config_median,488,16.475409836065573,22.997505210384002,0.0
repeated_random_cv,43,9,3.0,hierarchical_median,488,13.471311475409836,23.17102752131296,0.0
repeated_random_cv,43,9,3.0,model_based_hgb,488,8.821044991301743,13.693557004156693,
repeated_random_cv,44,9,4.0,global_median,488,16.28893442622951,21.7906864598948,0.0
